,Random Query,MSSIM,EarthMovers,OneDividedByEpsilon,KSTest,Scagnostics
2_DAWA_distribution_0.5_32,23.3386,0.989143968,0.419921875,2,0.973632813,0.223677867
2_AHP_distribution_0.5_32,34.42545427,0.993160248,0.753683006,2,0.264648438,0.401186324
2_AGrid_distribution_0.5_32,15.03470736,0.975608826,0.880780967,2,0.60546875,0.352050961
2_Geometric_distribution_0.5_32,40.3374,0.993840873,0.803710938,2,0.75390625,0.676497349
2_Laplace_distribution_0.5_32,14.11923718,0.981419802,1.60691587,2,0.6015625,0.581418018
2_DAWA_distribution_0.5_64,12.9576,0.990813673,0.156494141,2,0.98046875,0.216722182
2_AHP_distribution_0.5_64,47.45570011,0.988824964,0.709711844,2,0.181152344,0.511790552
2_AGrid_distribution_0.5_64,11.28717193,0.95558393,0.478003835,2,0.505859375,0.303375195
2_Geometric_distribution_0.5_64,50.3452,0.981293976,0.827148438,2,0.717529297,0.80242606
2_Laplace_distribution_0.5_64,16.4040367,0.939950347,1.756077105,2,0.567626953,0.750903681
2_DAWA_distribution_0.1_32,46.9328,0.93347007,1.524414063,10,0.864257813,0.35511724
2_AHP_distribution_0.1_32,176.1709648,0.937553346,3.281801843,10,0.220703125,0.814888779
2_AGrid_distribution_0.1_32,73.55300625,0.84971714,3.833274746,10,0.623046875,0.518297521
2_Geometric_distribution_0.1_32,248.2466,0.900507092,4.296875,10,0.720703125,0.817088028
2_Laplace_distribution_0.1_32,77.62130109,0.790038466,8.344207285,10,0.575195313,0.840672138
2_DAWA_distribution_0.1_64,24.9626,0.941325307,0.451904297,10,0.943603516,0.258632683
2_AHP_distribution_0.1_64,97.39287466,0.949599206,1.446638604,10,0.181152344,0.790494515
2_AGrid_distribution_0.1_64,41.50420355,0.812652826,1.302595331,10,0.523681641,0.479238127
2_Geometric_distribution_0.1_64,296.5586,0.796837211,4.784912109,10,0.662109375,0.895724124
2_Laplace_distribution_0.1_64,86.01065892,0.661430717,9.300161842,10,0.530517578,0.886670693
2_DAWA_distribution_0.05_32,157.622,0.9052248,3.8828125,20,0.638671875,0.435227484
2_AHP_distribution_0.05_32,230.8115866,0.884490728,5.021323459,20,0.194335938,0.901615464
2_AGrid_distribution_0.05_32,129.7311311,0.62864542,6.82198722,20,0.625976563,0.655020754
2_Geometric_distribution_0.05_32,495.6544,0.772360325,8.4140625,20,0.681640625,0.854292233
2_Laplace_distribution_0.05_32,146.5221565,0.636668563,17.23246589,20,0.555664063,0.839610193
2_DAWA_distribution_0.05_64,41.568,0.845632911,0.658691406,20,0.920410156,0.289133218
2_AHP_distribution_0.05_64,126.4050145,0.867308855,1.633061598,20,0.135009766,0.909820208
2_AGrid_distribution_0.05_64,62.86532778,0.593966365,2.032231682,20,0.542480469,0.612122204
